signal_id,stage,entry_geometry_mode,timestamp,side,regime,reason,equity,peak_equity,drawdown_pct,daily_realized_pnl,expected_reward_bps,expected_cost_bps,expected_net_edge_bps
SIG-BT-00000011,initial_risk,reanchor_to_actual_entry,1704117060000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,31.247384,19.000000,12.247384
SIG-BT-00000012,initial_risk,reanchor_to_actual_entry,1704117420000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,29.094561,19.000000,10.094561
SIG-BT-00000013,initial_risk,reanchor_to_actual_entry,1704117780000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,28.766271,19.000000,9.766271
SIG-BT-00000014,initial_risk,reanchor_to_actual_entry,1704117900000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,31.045584,19.000000,12.045584
SIG-BT-00000015,initial_risk,reanchor_to_actual_entry,1704117960000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,30.864186,19.000000,11.864186
SIG-BT-00000016,initial_risk,reanchor_to_actual_entry,1704118020000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,31.769831,19.000000,12.769831
SIG-BT-00000017,initial_risk,reanchor_to_actual_entry,1704118200000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,32.201028,19.000000,13.201028
SIG-BT-00000018,initial_risk,reanchor_to_actual_entry,1704118260000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,31.786085,19.000000,12.786085
SIG-BT-00000019,initial_risk,reanchor_to_actual_entry,1704118380000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,30.571725,19.000000,11.571725
SIG-BT-00000020,initial_risk,reanchor_to_actual_entry,1704118500000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,31.970539,19.000000,12.970539
SIG-BT-00000021,initial_risk,reanchor_to_actual_entry,1704118560000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,32.439381,19.000000,13.439381
SIG-BT-00000022,initial_risk,reanchor_to_actual_entry,1704126540000,long,bullish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,28.691637,19.000000,9.691637
SIG-BT-00000023,initial_risk,reanchor_to_actual_entry,1704126960000,long,bullish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,27.925685,19.000000,8.925685
SIG-BT-00000024,initial_risk,reanchor_to_actual_entry,1704127080000,long,bullish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,29.246865,19.000000,10.246865
SIG-BT-00000025,initial_risk,reanchor_to_actual_entry,1704127260000,long,bullish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,27.660531,19.000000,8.660531
SIG-BT-00000026,initial_risk,reanchor_to_actual_entry,1704127380000,long,bullish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,29.208567,19.000000,10.208567
SIG-BT-00000027,initial_risk,reanchor_to_actual_entry,1704127800000,long,bullish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,30.117542,19.000000,11.117542
SIG-BT-00000028,initial_risk,reanchor_to_actual_entry,1704135720000,short,bearish,daily_loss_limit_reached,4757.552872,5015.612326,5.145124,-242.447128,28.849407,19.000000,9.849407
