bucket,trades,wins,losses,win_rate,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,avg_net_pnl_bps,net_pnl
edge_lt_0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_0_5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_5_10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_10_15,3,0,3,0.000000,13.855530,-31.732419,-45.587950,18.992356,-31.732419,-102.277608
edge_15_20,36,5,31,13.888889,17.463467,-26.676397,-44.139864,18.306806,-26.676397,-875.008919
edge_20_30,3,0,3,0.000000,20.488481,-34.407310,-54.895790,19.009238,-34.407310,-84.349021
edge_30_50,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_gte_50,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
