stage,entry_geometry_mode,reason,count,unique_signals,avg_equity,avg_drawdown_pct,avg_daily_realized_pnl,avg_expected_reward_bps,avg_expected_cost_bps,avg_expected_net_edge_bps,min_expected_net_edge_bps,max_expected_net_edge_bps
actual_entry,reanchor_to_actual_entry,expected_net_edge_not_positive,1,1,182.390231,96.365850,-6.687885,18.997873,19.000000,-0.002127,-0.002127,-0.002127
initial_risk,reanchor_to_actual_entry,daily_loss_limit_reached,11280,11280,595.486194,88.134858,-31.746159,16.760611,19.000000,-2.239389,-11.496266,126.234455
initial_risk,reanchor_to_actual_entry,expected_net_edge_not_positive,60357,60357,519.712679,89.643645,-9.345860,11.491553,19.000000,-7.508447,-11.499965,-0.000226
