bucket,trades,wins,losses,win_rate,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,avg_net_pnl_bps,net_pnl
edge_lt_0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_0_5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
edge_5_10,1491,530,961,35.546613,7.643509,-20.729579,-28.373088,17.218594,-20.729579,-2914.126362
edge_10_15,793,298,495,37.578815,12.198684,-20.071466,-32.270149,17.120605,-20.071466,-1161.939734
edge_15_20,323,120,203,37.151703,17.088883,-20.535020,-37.623903,17.141796,-20.535020,-540.024267
edge_20_30,202,70,132,34.653465,23.819166,-22.483366,-46.302532,17.267236,-22.483366,-353.370620
edge_30_50,72,32,40,44.444444,37.829729,-14.578452,-52.408182,16.779876,-14.578452,-34.823263
edge_gte_50,15,6,9,40.000000,64.006206,-19.069381,-83.075588,17.007821,-19.069381,4.681725
